index,author,original_comment,processed_comment,is_gambling_prediction,confidence,gambling_keywords_found,has_contact_info,sentiment_polarity
0,@uzwaazha8374,Aku paling lawak yang perempuan kaya kuda😅😂😂😂😂😂,aku paling lawak yang perempuan kaya kuda😅😂😂😂😂😂,False,0.9997036350474316,0,False,0.0
1,@unguponzel9127,Perempuan kayak kudany ngeden 😅😅,perempuan kayak kudany ngeden 😅😅,False,0.9996671312183145,0,False,0.0
2,@sadlyaidil,Ending yang membangongkn,ending yang membangongkn,False,0.9952766501526057,0,False,0.0
3,@HamBali-s4n,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
4,@AbdulMunir-vo6ho,Kiuamat coi,kiuamat coi,False,0.9928210345903802,0,False,0.0
5,@amirhamzah7626,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
6,@AtosCopi,Kok haya susanti kek kitu nada nya 😂,kok haya susanti kek kitu nada nya 😂,False,0.9907818494568966,0,False,0.0
7,@BelaJ-v4b,3,,False,0.990049751243781,0,False,0.0
8,@BelaJ-v4b,😂,😂,False,0.990049751243781,0,False,0.0
9,@sejatiZalukhu,nomor 2 anjir ngakak bet pokok nya semuanya nya lucu😂😂😂,nomor  anjir ngakak bet pokok nya semuanya nya lucu😂😂😂,False,0.9971409938791963,0,False,0.0
10,@memespongebobbiasa2673,Matahari di barat pertanda🤔,matahari di barat pertanda🤔,False,0.9992777511153877,0,False,0.0
11,@JiwaJawara-j5d,sekalian matahari di tanah🗿🙏,sekalian matahari di tanah🗿🙏,False,0.9969938728182782,0,False,0.0
12,@JesiWahyu-u3u,"Yang ke dua itu di balikpapan, di waduk wonorejo wkwk",yang ke dua itu di balikpapan di waduk wonorejo wkwk,False,0.9954573583304342,0,False,0.0
13,@imamyahyaimamyahya1754,Terlalu dibuat buat,terlalu dibuat buat,False,0.9960717176928109,0,False,0.0
14,@vivianprayoga4005,😂😂😂😂,😂😂😂😂,False,0.990049751243781,0,False,0.0
15,@AngjeliRuni,no 3 lagu sedih jadi tidak. hahhaah,no  lagu sedih jadi tidak hahhaah,False,0.9908818250296122,0,False,0.0
16,@Indriani-pj9yz,kalo matahari dibarat berati kiamat😄😂 dong,kalo matahari dibarat berati kiamat😄😂 dong,False,0.9983231772805724,0,False,0.0
17,@amandaaputri-f6w,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
18,@DAYANGNURAIRAHAZIQAHBINTIAGHAS,Allah huakbar hahahaha😂,allah huakbar hahahaha😂,False,0.991523880913425,0,False,0.0
19,@NaezTech,BANYAK MUDA. Bukan Kayak Kuda. Lempang kang 😂,banyak muda bukan kayak kuda lempang kang 😂,False,0.9982323254267212,0,False,0.0
20,@BintangKurung-q3s,Kocak banget 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,kocak banget 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,False,0.9987387612408796,0,False,0.0
